구별,발생,검거
강남구,8617,5732
강동구,5244,3171
강북구,4257,3113
관악구,6345,3712
광진구,5909,3707
구로구,5646,3502
금천구,3781,2796
노원구,5130,3268
도봉구,2664,1900
동대문구,4720,3205
동작구,4074,2397
마포구,5854,3597
서대문구,4029,2579
서초구,5444,3450
성동구,3358,2123
성북구,4154,2729
송파구,6778,4113
양천구,10113,7005
영등포구,6867,4154
용산구,3820,2483
은평구,4745,3167
종로구,4705,2943
중구,4954,2942
중랑구,5193,3405
